name,version,description,downloads,ranking
SQLitePCLRaw.bundle_green,2.1.11,"This 'batteries-included' bundle brings in SQLitePCLRaw.core and the necessary stuff for certain common use cases.  Call SQLitePCL.Batteries.Init().  Policy of this bundle: iOS=system SQLite, others=e_sqlite3...
More information","74,496,543",208
Humanizer.Core.ru,2.14.1,Humanizer Locale Russian (ru),"74,343,854",209
Humanizer.Core.de,2.14.1,Humanizer Locale German (de),"74,301,316",210
Humanizer.Core.es,2.14.1,Humanizer Locale Spanish (es),"74,219,207",211
Humanizer.Core.pt,2.14.1,Humanizer Locale Portuguese (pt),"74,029,013",212
Humanizer.Core.zh-CN,2.14.1,Humanizer Locale Chinese (China) (zh-CN),"73,968,117",213
Humanizer.Core.nl,2.14.1,Humanizer Locale Dutch (nl),"73,791,855",214
Humanizer.Core.zh-Hans,2.14.1,Humanizer Locale Chinese (zh-Hans),"73,769,997",215
Humanizer.Core.zh-Hant,2.14.1,Humanizer Locale Chinese (zh-Hant),"73,752,685",216
Humanizer.Core.it,2.14.1,Humanizer Locale Italian (it),"73,729,466",217
GitVersion.Tool,6.1.0,Derives SemVer information from a repository following GitFlow or GitHubFlow. This is the .NET Core Global Tool allowing usage of GitVersion from command line.,"73,660,359",218
Humanizer.Core.ja,2.14.1,Humanizer Locale Japanese (ja),"73,612,502",219
Humanizer.Core.pl,2.14.1,Humanizer Locale Polish (pl),"73,579,963",220
Humanizer.Core.sv,2.14.1,Humanizer Locale Swedish (sv),"73,534,086",221
NSwag.Generation.AspNetCore,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"73,522,041",222
Humanizer.Core.nb-NO,2.14.1,Humanizer Locale Norwegian Bokmål (Norway) (nb-NO),"73,515,062",223
Humanizer.Core.tr,2.14.1,Humanizer Locale Turkish (tr),"73,507,310",224
Humanizer.Core.id,2.14.1,Humanizer Locale Indonesian (id),"73,497,679",225
Humanizer.Core.he,2.14.1,Humanizer Locale Hebrew (he),"73,479,804",226
Humanizer.Core.hr,2.14.1,Humanizer Locale Croatian (hr),"73,474,608",227
Humanizer.Core.da,2.14.1,Humanizer Locale Danish (da),"73,472,674",228
Humanizer.Core.cs,2.14.1,Humanizer Locale Czech (cs),"73,467,600",229
Humanizer.Core.fr-BE,2.14.1,Humanizer Locale French (Belgium) (fr-BE),"73,465,496",230
Humanizer.Core.fi-FI,2.14.1,Humanizer Locale Finnish (Finland) (fi-FI),"73,464,124",231
Humanizer.Core.ro,2.14.1,Humanizer Locale Romanian (ro),"73,455,202",232
Humanizer.Core.fa,2.14.1,Humanizer Locale Persian (fa),"73,448,824",233
Humanizer.Core.el,2.14.1,Humanizer Locale Greek (el),"73,439,815",234
Humanizer.Core.nb,2.14.1,Humanizer Locale Norwegian Bokmål (nb),"73,436,645",235
Humanizer.Core.hu,2.14.1,Humanizer Locale Hungarian (hu),"73,431,187",236
Humanizer.Core.uz-Cyrl-UZ,2.14.1,"Humanizer Locale Uzbek (Cyrillic, Uzbekistan) (uz-Cyrl-UZ)","73,420,798",237
Humanizer.Core.sk,2.14.1,Humanizer Locale Slovak (sk),"73,405,307",238
Humanizer.Core.sl,2.14.1,Humanizer Locale Slovenian (sl),"73,393,172",239
Humanizer.Core.bn-BD,2.14.1,Humanizer Locale Bangla (Bangladesh) (bn-BD),"73,389,818",240
Humanizer.Core.sr-Latn,2.14.1,Humanizer Locale Serbian (sr-Latn),"73,384,062",241
Humanizer.Core.ar,2.14.1,Humanizer Locale Arabic (ar),"73,382,940",242
Humanizer.Core.sr,2.14.1,Humanizer Locale Serbian (sr),"73,379,726",243
Humanizer.Core.vi,2.14.1,Humanizer Locale Vietnamese (vi),"73,379,364",244
Humanizer.Core.uz-Latn-UZ,2.14.1,"Humanizer Locale Uzbek (Latin, Uzbekistan) (uz-Latn-UZ)","73,377,696",245
Humanizer.Core.bg,2.14.1,Humanizer Locale Bulgarian (bg),"73,364,213",246
Humanizer.Core.af,2.14.1,Humanizer Locale Afrikaans (af),"73,271,712",247
StackExchange.Redis.StrongName,1.2.6,"High performance Redis client, incorporating both synchronous and asynchronous usage.","72,886,133",248
Humanizer.Core.lv,2.14.1,Humanizer Locale Latvian (lv),"72,792,330",249
Castle.Windsor,6.0.0,"Castle Windsor is best of breed, mature Inversion of Control container available for .NET.","72,061,827",250
KubernetesClient,16.0.2,Client library for the Kubernetes open source container orchestrator.,"71,766,360",251
FSharp.Core,9.0.201,FSharp.Core redistributables from F# Tools version 13.9.201 For F# 9.0.  Contains code from the F# Software Foundation.,"71,565,572",252
dotnet-ef,9.0.3,"Entity Framework Core Tools for the .NET Command-Line Interface.

Enables these commonly used dotnet-ef commands:
dotnet ef migrations add
dotnet ef migrations list
dotnet ef migrations script
dotnet ef...
More information","71,124,145",253
AngleSharp.Css,0.17.0,Extends the CSSOM from the core AngleSharp library.,"70,769,655",254
Swashbuckle.AspNetCore.Filters,8.0.2,Some additional useful filters for Swashbuckle.AspNetCore. This package replaces Swashbuckle.AspNetCore.Examples.,"70,674,214",255
Humanizer.Core.ms-MY,2.14.1,Humanizer Locale Malay (Malaysia) (ms-MY),"70,341,582",256
Humanizer.Core.mt,2.14.1,Humanizer Locale Maltese (mt),"70,307,499",257
Oracle.ManagedDataAccess.Core,23.7.0,"Oracle Data Provider for .NET (ODP.NET) Core is a multi-platform ADO.NET driver that provides fast data access from Microsoft .NET (Core) clients to Oracle databases. ODP.NET Core consists of a single 100%...
More information","69,421,686",258
BouncyCastle,1.8.9,"The Bouncy Castle Crypto package is a C# implementation of cryptographic algorithms and protocols, it was developed by the Legion of the Bouncy Castle, a registered Australian Charity, with a little help! The...
More information","69,372,102",259
AspNetCore.HealthChecks.SqlServer,9.0.0,HealthChecks.SqlServer is the health check package for SqlServer.,"68,817,375",260
SpecFlow.Tools.MsBuild.Generation,3.9.74,Package to enable the code-behind file generation during build time http://specflow.org/documentation/Generate-Tests-from-MsBuild/,"68,651,773",261
Swashbuckle.Core,5.6.0,Seamlessly adds a Swagger to WebApi projects!,"68,598,516",262
Serilog.Enrichers.Process,3.0.0,The process enricher for Serilog.,"68,294,679",263
ExcelDataReader,3.7.0,"Lightweight and fast library written in C# for reading Microsoft Excel files (XLS, XLSX).","68,041,619",264
Grpc,2.46.6,Metapackage for gRPC C#,"67,368,175",265
Duende.IdentityModel.OidcClient,6.0.1,RFC8252 compliant and certified OpenID Connect and OAuth 2.0 client library for native applications,"23,138",266
Fody,6.9.2,Extensible tool for weaving .net assemblies.,"67,359,970",267
NPOI,2.7.3,.NET port of Apache POI,"66,950,124",268
Humanizer.Core.hy,2.14.1,Humanizer Locale Armenian (hy),"66,752,403",269
StyleCop.Analyzers.Unstable,1.2.0.556,An implementation of StyleCop's rules using Roslyn analyzers and code fixes,"66,553,161",270
AWSSDK.CloudWatchLogs,3.7.410.11,"Amazon CloudWatch is a monitoring service for AWS cloud resources and the applications you run on AWS. You can use Amazon CloudWatch to collect and track metrics, collect and monitor log files, and set alarms.","66,420,342",271
ServiceStack.Text,8.6.0,".NET's fastest JSON, JSV and CSV Text Serializers. Fast, Light, Resilient.
      Contains ServiceStack's high-performance text-processing powers, for more info see:...
More information","66,307,558",272
MassTransit.Abstractions,8.4.0,"MassTransit provides a developer-focused, modern platform for creating distributed applications without complexity.","66,176,209",273
Humanizer.Core.az,2.14.1,Humanizer Locale Azerbaijani (az),"65,776,946",274
Selenium.WebDriver.ChromeDriver,134.0.6998.16500,"Install Chrome Driver (Win32, macOS, macOS arm64, and Linux64) for Selenium WebDriver into your Unit Test Project.
      ""chromedriver(.exe)"" is copied to the bin folder from the package folder when the build...
More information","65,738,860",275
protobuf-net.Core,3.2.46,"Provides simple access to fast and efficient ""Protocol Buffers"" serialization from .NET applications","65,323,171",276
Handlebars.Net,2.1.6,Blistering-fast Handlebars.js templates in your .NET application.,"64,904,019",277
Duende.IdentityServer.Storage,7.2.0,Storage interfaces and models for Duende IdentityServer,"14,813,219",278
Shouldly,4.3.0,Shouldly - Assertion framework for .NET. The way asserting *Should* be,"64,835,897",279
OpenTelemetry.Exporter.Console,1.11.2,Console exporter for OpenTelemetry .NET,"64,291,457",280
Syncfusion.Licensing,29.1.33,"Syncfusion® licensing is a .NET library for validating the registered Syncfusion® license in an application at runtime. The Syncfusion® license must be registered in an application when using the Syncfusion®...
More information","64,224,441",281
dotnet-reportgenerator-globaltool,5.4.5,"ReportGenerator converts coverage reports generated by coverlet, OpenCover, dotCover, Visual Studio, NCover, Cobertura, JaCoCo, Clover, gcov, or lcov into human readable reports in various formats. The reports...
More information","64,162,844",282
DiffEngine,15.11.0,Launches diff tools based on file extensions. Designed to be consumed by snapshot testing libraries.,"63,918,995",283
Fractions,8.3.2,"The fraction data type consists of two BigInteger values for numerator and denominator. It implements various operations (addition, subtraction, multiplication, division and remainder) with operator overloads.","63,845,830",284
HtmlSanitizer,9.0.876,Cleans HTML from constructs that can be used for cross-site scripting (XSS),"63,658,147",285
NUnit.Analyzers,4.6.0,"This package includes analyzers and code fixes for test projects using NUnit 3+. The analyzers will mark wrong usages when writing tests, and the code fixes can be used to used to correct these usages. They...
More information","63,541,323",286
AutoFixture.AutoMoq,4.18.1,"This extension turns AutoFixture into an Auto-Mocking Container. The mock instances are created by Moq. To use it, add the AutoMoqCustomization to your Fixture instance. Read more at...
More information","63,511,689",287
Newtonsoft.Json.Schema,4.0.1,Json.NET Schema is a complete and easy-to-use JSON Schema framework for .NET,"63,468,547",288
Google.Apis.Storage.v1,1.69.0.3723,"This is not the recommended package for working with Storage, please use the Google.Cloud.Storage.V1 package.
      This Google APIs Client Library for working with Storage v1 uses older code generation, and is...
More information","63,371,672",289
DotNetZip,1.16.0,"A fork of the DotNetZip project without signing with a solution that compiles cleanly. This project aims to follow semver to avoid versioning conflicts. DotNetZip is a FAST, FREE class library and toolset for...
More information","62,898,306",290
Humanizer.Core.ko-KR,2.14.1,Humanizer Locale Korean (South Korea) (ko-KR),"62,415,689",291
Humanizer.Core.th-TH,2.14.1,Humanizer Locale Thai (Thailand) (th-TH),"62,269,753",292
Humanizer.Core.ku,2.14.1,Humanizer Locale Central Kurdish (ku),"62,220,935",293
AWSSDK.Lambda,3.7.412.7,"AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources for you, making it easy to build applications that respond quickly to new information.","62,210,320",294
EmptyFiles,8.8.0,A collection of minimal binary files.,"61,857,693",295
Gherkin,32.0.1,"Cross-platform parser for the Gherkin language, used by Cucumber, SpecFlow and other Cucumber-based tools to parse feature files.","60,516,857",296
NewRelic.Agent.Api,10.39.0,"The New Relic .NET Agent API supports custom error and metric reporting, and custom transaction parameters. If the agent is not installed or is disabled, method invocations of this API will have no effect. You...
More information","60,241,791",297
Google.Cloud.Storage.V1,4.11.0,"Recommended Google client library to access the Google Cloud Storage API. It wraps the Google.Apis.Storage.v1 client library, making common operations simpler in client code. Google Cloud Storage stores and...
More information","60,058,703",298
NUnit.ConsoleRunner,3.19.2,"This package includes the nunit3-console runner and test engine for version 3 of the NUnit unit-testing framework.

      Any extensions, if needed, may be installed as separate packages.","59,700,076",299
Hangfire,1.8.18,"An easy and reliable way to perform fire-and-forget, delayed and recurring, long-running, short-running, CPU or I/O intensive tasks inside ASP.NET applications. No Windows Service / Task Scheduler required....
More information","59,647,132",300
Refit.HttpClientFactory,8.0.0,Refit HTTP Client Factory Extensions,"59,373,519",301
NSwag.Core.Yaml,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"59,373,136",302
NJsonSchema.Yaml,11.2.0,"JSON Schema reader, generator and validator for .NET","58,775,853",303
JWT,11.0.0,"Jwt.Net, a JWT (JSON Web Token) implementation for .NET","58,726,973",304
SonarAnalyzer.CSharp,10.7.0.110445,"Roslyn analyzers that spot Bugs, Vulnerabilities and Code Smells in your code. For an even better overall experience, you can use SonarQube for IDE (Visual Studio, Rider, see...
More information","58,396,438",305
libphonenumber-csharp,9.0.2,"C# port of Google's common Java, C++ and Javascript library for parsing, formatting, storing and validating international phone numbers. https://github.com/google/libphonenumber","58,222,587",306
NSwag.MSBuild,14.3.0,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript,"58,007,633",307
NewId,4.0.1,NewId is an ordered 128-bit unique identifier generator using the Flake algorithm.,"57,952,061",308
K4os.Hash.xxHash,1.0.8,xxHash hash implementation for .NET,"57,951,683",309
K4os.Compression.LZ4.Streams,1.3.8,Port of LZ4 compression algorithm for .NET,"57,647,594",310
SimpleInjector,5.5.0,"Simple Injector is an easy, flexible and fast dependency injection library that uses best practice to guide your solutions toward the pit of success.","57,629,310",311
Amazon.Lambda.Serialization.SystemTextJson,2.4.4,Amazon Lambda .NET Core support - Serialization.Json with System.Text.Json.,"57,609,853",312
BoDi,1.5.0,"A very simple IoC container, easily embeddable also as a source code.","56,218,791",313
Humanizer.Core.is,2.14.1,Humanizer Locale Icelandic (is),"55,900,495",314
GreenPipes,4.0.1,"GreenPipes, a pipes and filters library for the Task Parallel Library","55,560,075",315
Mono.Cecil,0.11.6,"Cecil is a library written by Jb Evain to generate and inspect programs and libraries in the ECMA CIL format. It has full support for generics, and support some debugging symbol format. In simple English, with...
More information","55,102,744",316
Respond,1.4.2,"The goal of this script is to provide a fast and lightweight (3kb minified / 1kb gzipped) script to enable responsive web designs in browsers that don't support CSS3 Media Queries - in particular, Internet...
More information","54,352,980",317
Ben.Demystifier,0.4.1,High performance understanding for stack traces (Make error logs more productive),"53,980,523",318
Ninject,3.3.6,"Ninject is a lightning-fast, ultra-lightweight dependency injector for .NET applications.","53,732,579",319
NUglify,1.21.13,"NUglify provides minification and compression methods for CSS, JavaScript and HTML files for .NET","53,544,254",320
NHibernate,5.5.2,"NHibernate is a mature, open source object-relational mapper for the .NET framework. It is actively developed, fully featured and used in thousands of successful projects.","53,480,668",321
JunitXml.TestLogger,6.1.0,"Xml logger for JUnit v5 compliant xml report when test is running with ""dotnet test"" or ""dotnet vstest"".","53,168,997",322
FakeItEasy,8.3.0,"It's faking amazing! The easy mocking library for .NET that works great in C# and VB.NET alike. No need to know the difference between a stub, a mock or a spy, everything's a fake! The easy to use, refactoring...
More information","53,156,061",323
Unity.Abstractions,5.11.7,Unity Container Public Abstractions,"52,988,736",324
Nito.AsyncEx,5.1.2,A helper library for the Task-Based Asynchronous Pattern (TAP).,"52,816,115",325
Swashbuckle,5.6.0,Seamlessly adds a Swagger to WebApi projects!,"51,997,521",326
NServiceBus,9.2.6,"Build, version, and monitor better microservices with the most powerful service platform for .NET","51,690,669",327
Datadog.Trace,3.13.0,Instrumentation library for Datadog APM.,"51,579,162",328
AutoFixture.Xunit2,4.18.1,"By leveraging the data theory feature of xUnit.net, this extension turns AutoFixture into a declarative framework for writing unit tests. In many ways it becomes a unit testing DSL (Domain Specific Language).","51,554,374",329
jQuery.UI.Combined,1.14.1,"jQuery UI is an open source library of interface components — interactions, full-featured widgets, and animation effects — based on the stellar jQuery javascript library . Each component is built according to...
More information","51,432,860",330
Validation,2.6.68,Method input validation and runtime checks that report errors or throw exceptions when failures are detected.,"51,407,700",331
NetTopologySuite.IO.SqlServerBytes,2.1.0,A SQL Server IO module for NTS which works directly with the serialization format,"50,559,499",332
xunit.runner.console,2.9.3,"Console runner for the xUnit.net framework. Capable of running xUnit.net v1.9.2 and v2.0+ tests. Supports .NET 4.5.2 or later, .NET Core 1.x, and .NET Core 2.x.","49,949,160",333
SQLitePCLRaw.lib.e_sqlite3.v110_xp,1.1.15,"This package contains a platform-specific native code build of SQLite for use with SQLitePCL.raw.  To use this, you need SQLitePCLRaw.core as well as SQLitePCLRaw.provider.e_sqlite3.net45 or similar....
More information","49,629,586",334
SQLitePCLRaw.lib.e_sqlite3.linux,1.1.14,"This package contains a platform-specific native code build of SQLite for use with SQLitePCL.raw.  To use this, you need SQLitePCLRaw.core as well as SQLitePCLRaw.provider.e_sqlite3.net45 or similar....
More information","49,626,527",335
SQLitePCLRaw.lib.e_sqlite3.osx,1.1.14,"This package contains a platform-specific native code build of SQLite for use with SQLitePCL.raw.  To use this, you need SQLitePCLRaw.core as well as SQLitePCLRaw.provider.e_sqlite3.net45 or similar....
More information","49,511,514",336
Swashbuckle.AspNetCore.Filters.Abstractions,8.0.2,Some additional useful filters for Swashbuckle.AspNetCore. This package replaces Swashbuckle.AspNetCore.Examples.,"48,611,965",337
Rebus,8.8.0,Rebus is a lean service bus for .NET,"48,548,794",338
Stripe.net,47.4.0,"Stripe.net is a sync/async client and portable class library for the Stripe API, supporting .NET Standard 2.0+, .NET Core 3.1+, and .NET Framework 4.6.1+. (Official Library)","48,527,642",339
App.Metrics.Abstractions,4.3.0,"App Metrics Core abstractions and interfaces for metric types, reporting, filtering and more.","48,029,246",340
NCrontab,3.3.3,"NCrontab is crontab for all .NET runtimes supported by .NET Standard 1.0. It provides parsing and formatting of crontab expressions as well as calculation of occurrences of time based on a schedule expressed in...
More information","47,982,654",341
OpenTracing,0.12.1,"This library is a .NET implementation of the OpenTracing API. To fully understand this platform API, it's helpful to be familiar with the OpenTracing project and terminology more generally.

For the time being,...
More information","47,843,478",342
Z.EntityFramework.Extensions.EFCore,9.103.7.2,"Microsoft.EntityFrameworkCore Extension Methods

Entity Framework Extensions extends your DbContext with high-performance bulk operations: BulkSaveChanges, BulkInsert, BulkUpdate, BulkDelete, BulkMerge, and...
More information","47,556,421",343
MessagePackAnalyzer,3.1.3,"Analyzers and source generator for MessagePack for C#. Verify rules for [MessagePackObject] and code fix for [Key]. A roslyn source generator for AOT or faster startup of applications that use the MessagePack...
More information","46,878,658",344
iTextSharp,5.5.13.4,"PLEASE NOTE: iTextSharp is EOL, and has been replaced by iText. Only security fixes will be added

We HIGHLY recommend customers use iText for new projects, and to consider moving existing projects from...
More information","46,554,104",345
AWSSDK.SimpleEmail,3.7.402.66,"Amazon SES is an outbound-only email-sending service that provides an easy, cost-effective way for you to send email.","46,432,040",346
App.Metrics.Formatters.Ascii,4.3.0,App Metrics Formatters for metrics and environment data to plain text.,"46,081,138",347
GraphQL,8.4.1,GraphQL for .NET,"46,051,691",348
App.Metrics.Core,4.3.0,"App Metrics core components. Contains metric types and default implementations for metric reporting, filtering and more.","45,961,747",349
Elastic.Apm,1.31.0,"Elastic APM .NET Agent base package. This package provides core functionality for transmitting of all Elastic APM types and is a dependent package for all other Elastic APM package. Additionally this package...
More information","45,559,675",350
Iesi.Collections,4.1.1,"The System.Collections namespace in the .NET Framework provides a number of collection types that are extremely useful for manipulating data in memory. However, some specialized implementations of ISet are not...
More information","45,527,171",351
AWSSDK.KeyManagementService,3.7.400.123,"AWS Key Management Service (KMS) is a managed service that makes it easy for you to create and control the encryption keys used to encrypt your data, and uses Hardware Security Modules (HSMs) to protect the...
More information","45,456,784",352
Dapper.Contrib,2.0.78,"The official collection of get, insert, update and delete helpers for Dapper.net. Also handles lists of entities and optional ""dirty"" tracking of interface-based entities.","45,385,696",353
Amazon.Lambda.APIGatewayEvents,2.7.1,Amazon Lambda .NET Core support - API Gateway package.,"45,357,093",354
GraphQL-Parser,9.5.0,Library containing lexer and parser for GraphQL syntax,"45,287,315",355
Google.Cloud.Iam.V1,3.4.0,gRPC services for the Google Identity and Access Management API. This library is typically used as a dependency for other API client libraries.,"45,010,579",356
Nito.AsyncEx.Interop.WaitHandles,5.1.2,Task wrappers for WaitHandles.,"44,777,240",357
ReportGenerator,5.4.5,"ReportGenerator converts coverage reports generated by coverlet, OpenCover, dotCover, Visual Studio, NCover, Cobertura, JaCoCo, Clover, gcov, or lcov into human readable reports in various formats. The reports...
More information","44,440,603",358
Nito.Cancellation,1.2.0,Helper types for working with cancellation tokens and sources.,"44,420,983",359
Nito.AsyncEx.Oop,5.1.2,Interfaces and utility methods for combining async with OOP.,"44,302,520",360
LaunchDarkly.EventSource,5.2.0,LaunchDarkly Server-Sent Events client,"44,235,552",361
Sentry.Extensions.Logging,5.4.0,Official Microsoft.Extensions.Logging integration for Sentry - Open-source error tracking that helps developers monitor and fix crashes in real time.,"44,180,227",362
MiniProfiler.Shared,4.5.4,You shouldn't reference this - MiniProfiler's shared library for all frameworks,"44,179,673",363
Unity.Container,5.11.11,Unity Core Engine,"44,176,629",364
ExcelDataReader.DataSet,3.7.0,ExcelDataReader extension for reading Microsoft Excel files into System.Data.DataSet.,"44,164,059",365
MathNet.Numerics,5.0.0,"Math.NET Numerics is the numerical foundation of the Math.NET project, aiming to provide methods and algorithms for numerical computations in science, engineering and every day use. Supports .NET 5.0 or higher,...
More information","43,578,902",366
LinqKit.Core,1.2.8,"LinqKit.Core contains extensions for LINQ to SQL and Entity Framework. Note that Include(...), IAsync and IDbAsync are not supported.","43,378,050",367
EFCore.BulkExtensions,9.0.1,"EntityFramework .Net EFCore EF Core Bulk Batch Extensions for Insert Update Delete Read (CRUD) operations on SQL Server, PostgreSQL, MySQL, SQLite","43,303,515",368
Consul,1.7.14.7,Consul.NET is a .NET client library for the Consul HTTP API,"43,242,123",369
Z.Expressions.Eval,6.2.8,"Evaluate, Compile and Execute C# code at runtime.

Support: Dynamic LINQ, Extension Method, Expando Object, and more!

Online Example: https://dotnetfiddle.net/COq6FC

Include free and prime features.","43,070,775",370
CompareNETObjects,4.83.0,What you have been waiting for. Perform a deep compare of any two .NET objects using reflection. Shows the differences between the two objects.,"43,049,146",371
SQLitePCLRaw.provider.e_sqlite3.netstandard11,1.1.14,"A SQLitePCL.raw 'provider' bridges the gap between SQLitePCLRaw.core and a particular instance of the native SQLite library.  Install this package in your app project and call SQLitePCL.raw.SetProvider(new...
More information","43,045,696",372
App.Metrics.Concurrency,4.3.0,"Provides useful structures for performing efficient concurrent operations. Original Project: https://github.com/etishor/ConcurrencyUtilities, including a port of Java's LongAdder and Striped64 classes","43,045,086",373
dotnet-dump,9.0.607501,Diagnostic dump collect and analyze tool,"42,847,961",374
jose-jwt,5.1.1,"Javascript Object Signing and Encryption (JOSE), JSON Web Token (JWT), JSON Web Encryption (JWE) and JSON Web Key (JWK) Implementation for .NET 

Ultimate Javascript Object Signing and Encryption (JOSE), JSON...
More information","42,844,247",375
AspNetCore.HealthChecks.Redis,9.0.0,HealthChecks.Redis is the health check package for Redis.,"42,777,245",376
Automatonymous,5.1.3,"Automatonymous, an open source state machine library, usable with MassTransit","42,232,892",377
Utf8Json,1.3.7,"Definitely Fastest and Zero Allocation JSON Serializer for C#(NET, .NET Core, Unity, Xamarin).","41,799,282",378
FastMember,1.5.0,"In .NET reflection is slow... well, kinda slow. If you need access to the members of an arbitrary type, with the type and member-names known only at runtime - then it is frankly hard (especially for DLR types)....
More information","41,732,656",379
ServiceStack.Common,8.6.0,"#Script, Virtual File System, SimpleContainer and Common library for ServiceStack projects.","41,040,704",380
HotChocolate.Language,15.1.3,Contains the Hot Chocolate GraphQL parser and lexer. Also included are syntax visitor and syntax rewriter base classes.,"40,952,181",381
Octokit,14.0.0,An async-based GitHub API client library for .NET and .NET Core,"40,897,445",382
DogStatsD-CSharp-Client,8.0.0,A DogStatsD client for C#. DogStatsD is an extension of the StatsD metric server for use with Datadog. For more information visit http://datadoghq.com.,"40,721,905",383
HotChocolate.Utilities,15.1.3,Contains internal helper classes and utilities used by the Hot Chocolate GraphQL type system and the GraphQL query execution engine.,"40,713,424",384
Docker.DotNet,3.125.15,"Docker.DotNet is a library that allows you to interact with the Docker Remote API programmatically with fully asynchronous, non-blocking and object-oriented code in your .NET applications.","40,707,466",385
AspNetCore.HealthChecks.Uris,9.0.0,HealthChecks.Uris is a simple health check package for Uri groups.,"40,583,391",386
BenchmarkDotNet,0.14.0,Powerful .NET library for benchmarking,"40,522,408",387
Sentry.AspNetCore,5.4.0,Official ASP.NET Core integration for Sentry - Open-source error tracking that helps developers monitor and fix crashes in real time.,"40,456,809",388
OpenTelemetry.Instrumentation.Runtime,1.11.1,.NET runtime instrumentation for OpenTelemetry .NET.,"40,417,472",389
Asp.Versioning.Abstractions,8.1.0,The abstractions library for API versioning.,"40,317,970",390
HotChocolate.Abstractions,15.1.3,Contains common abstractions used between the Hot Chocolate GraphQL type system and the GraphQL query execution engine.,"40,159,066",391
Asp.Versioning.Http,8.1.0,A service API versioning library for Microsoft ASP.NET Core.,"40,003,321",392
dotnet-sonarscanner,10.1.1,The SonarScanner for .NET allows easy analysis of any .NET project with SonarCloud/SonarQube.,"39,943,526",393
MassTransit.Extensions.DependencyInjection,7.3.1,MassTransit Microsoft.Extensions.DependencyInjection support; MassTransit is a message-based distributed application framework for .NET http://masstransit-project.com,"39,785,728",394
App.Metrics.Formatters.Json,4.3.0,App Metrics Formatters for metrics  and environment data to JSON using Newtonsoft.Json.,"39,702,876",395
App.Metrics,4.3.0,App Metrics is an open-source .NET Standard library used to record application metrics.,"39,607,245",396
dbup-core,6.0.4,"DbUp makes it easy to deploy and upgrade SQL Server databases by running change scripts. This is the core library and should be used in conjunction with the database specific package (eg dbup-sqlserver,...
More information","39,566,119",397
QRCoder,1.6.0,"QRCoder is a simple library, written in C#.NET, which enables you to create QR codes.","39,553,266",398
Amazon.Lambda.SQSEvents,2.2.0,Amazon Lambda .NET Core support - SQSEvents package.,"39,522,630",399
Quartz.Extensions.DependencyInjection,3.14.0,Quartz.NET Microsoft.Extensions.DependencyInjection integration; Quartz Scheduling Framework for .NET,"38,938,665",400
Asp.Versioning.Mvc,8.1.0,A service API versioning library for Microsoft ASP.NET Core MVC.,"38,816,366",401
HotChocolate.Types,15.1.3,Contains the Hot Chocolate GraphQL type system.,"38,685,319",402
HotChocolate.Language.SyntaxTree,15.1.3,This package contains the abstract syntax tree that is used by the Hot Chocolate parsers.,"38,551,810",403
Amazon.JSII.Runtime,1.110.0,.NET client for jsii runtime,"38,342,604",404
Amazon.Extensions.Configuration.SystemsManager,6.2.2,.NET Configuration Extensions for AWS Systems Manager,"38,179,763",405
GreenDonut,15.1.3,"GreenDonut is a port of facebook's DataLoader utility, written in C# for .NET Core and .NET Framework.","38,080,100",406
Z.EntityFramework.Plus.EFCore,9.103.7.2,"Entity Framework Plus extends your DbContext with must-haves features: Include Filter, Auditing, Caching, Query Future, Batch Delete, Batch Update, and more

**IMPORTANT**
- For EF Core 9.x, use the latest EF...
More information","37,959,576",407
Google.LongRunning,3.3.0,gRPC services for the Google Long Running Operations API. This library is typically used as a dependency for other API client libraries.,"37,815,337",408
Mapster,7.4.0,"A fast, fun and stimulating object to object mapper. Kind of like AutoMapper, just simpler and way, way faster.","37,809,596",409
HarfBuzzSharp,8.3.0.1,HarfBuzzSharp is a cross-platform OpenType text shaping engine for .NET platforms.,"37,780,852",410
Antlr3.Runtime,3.5.1,"The runtime library for parsers generated by the C# target of ANTLR 3. This package supports projects targeting .NET 2.0 or newer, and built using Visual Studio 2008 or newer.","37,775,690",411
dotnet-xunit,2.3.1,".NET CLI SDK runner for the xUnit.net framework. Supports .NET 4.5.2 or later, .NET Core 1.x, and .NET Core 2.x.","37,627,739",412
LaunchDarkly.Cache,1.0.2,LaunchDarkly .NET Cache Library,"37,036,541",413
Enums.NET,5.0.0,Enums.NET is a high-performance type-safe .NET enum utility library,"36,832,939",414
SpecFlow.Internal.Json,1.0.8,A really simple C# JSON parser.,"36,710,628",415
LaunchDarkly.ServerSdk,8.7.0,LaunchDarkly Server-Side .NET SDK,"36,705,326",416
HotChocolate.Language.Utf8,15.1.3,This package contains the UTF8 based parsers of Hot Chocolate.,"36,601,174",417
HotChocolate.Language.Visitors,15.1.3,This package contains the UTF8 based parsers of Hot Chocolate.,"36,555,662",418
Perfolizer,0.4.0,Performance analysis toolkit,"36,477,698",419
StructureMap,4.7.1,The Original IoC Container for .Net,"36,271,099",420
